date,block,primary_type,description,location_description,arrest,domestic,fbi_code,year,longitude,latitude
2020-09-16 22:00:00 UTC,108XX S GREEN BAY AVE,THEFT,OVER $500,STREET,false,false,06,2020,-87.541345118,41.698646716
2020-08-18 12:30:00 UTC,053XX S KEELER AVE,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,06,2020,-87.728151213,41.796354621
2020-10-02 09:00:00 UTC,015XX W 100TH PL,THEFT,OVER $500,APARTMENT,false,true,06,2020,-87.661516197,41.711308732
2020-07-07 22:00:00 UTC,057XX W 63RD ST,THEFT,OVER $500,RESTAURANT,false,false,06,2020,-87.76468954,41.777995351
2020-05-08 09:00:00 UTC,028XX N NEVA AVE,THEFT,OVER $500,ALLEY,false,false,06,2020,-87.805302895,41.931700627
2020-06-02 19:42:00 UTC,040XX S WENTWORTH AVE,THEFT,OVER $500,OTHER (SPECIFY),true,false,06,2020,-87.631312393,41.820872616
2020-09-05 00:48:00 UTC,002XX W PERSHING RD,THEFT,OVER $500,GAS STATION,true,false,06,2020,-87.632779182,41.823628586
2020-07-08 00:30:00 UTC,049XX S KOSTNER AVE,THEFT,OVER $500,RESIDENCE,false,false,06,2020,-87.733249994,41.803299716
2020-08-30 15:00:00 UTC,088XX S LEAVITT ST,THEFT,OVER $500,RESIDENCE,false,false,06,2020,-87.677562412,41.732831822
2020-05-25 15:15:00 UTC,097XX S OAKLEY AVE,THEFT,OVER $500,RESIDENCE,false,true,06,2020,-87.679508726,41.716484024
2020-06-15 18:00:00 UTC,044XX S KILDARE BLVD,THEFT,OVER $500,SMALL RETAIL STORE,false,false,06,2020,-87.731254831,41.812693935
2020-08-06 04:38:00 UTC,112XX S GREEN BAY AVE,THEFT,OVER $500,STREET,false,false,06,2020,-87.541315599,41.691203906
2020-08-31 18:00:00 UTC,050XX N NATOMA AVE,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,false,false,06,2020,-87.792777734,41.97266566
2020-06-25 09:00:00 UTC,105XX S COTTAGE GROVE AVE,THEFT,OVER $500,STREET,false,false,06,2020,-87.607433819,41.703386283
2020-07-16 18:00:00 UTC,055XX N LINDER AVE,THEFT,OVER $500,STREET,false,false,06,2020,-87.765930648,41.981589242
2020-07-30 11:30:00 UTC,007XX E 38TH PL,THEFT,OVER $500,RESIDENCE,false,false,06,2020,-87.609170298,41.824911933
2020-08-27 05:00:00 UTC,017XX E 87TH PL,THEFT,OVER $500,RESIDENCE,false,false,06,2020,-87.582063607,41.736075423
2020-09-27 12:00:00 UTC,093XX S KENWOOD AVE,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,false,false,06,2020,-87.591341874,41.725133771
2020-07-16 11:12:00 UTC,053XX N OKETO AVE,THEFT,OVER $500,STREET,false,false,06,2020,-87.811987767,41.976818676
2020-06-19 10:00:00 UTC,129XX S MUSKEGON AVE,THEFT,OVER $500,RESIDENCE,false,false,06,2020,-87.554416676,41.66016447
2020-05-26 14:00:00 UTC,055XX N MANGO AVE,THEFT,OVER $500,APARTMENT,false,false,06,2020,-87.771996382,41.981912692
2020-07-17 16:00:00 UTC,096XX S BEVERLY AVE,THEFT,OVER $500,DRIVEWAY - RESIDENTIAL,false,false,06,2020,-87.661812849,41.71834691
